a,b,seq,,,,,,,,22,43,1
5,38,4,,,,,,,,,,
6,38,3,,,,,,,,,,
7,38,1,,,,,,,,,,
8,38,0,,,,,,,,,,
9,38,7,,,,,,,,,,
10,38,15,,,,,,,,,,
11,38,0,,,,,,,,,,
12,38,1,,,,,,,,,,
13,38,3,,,,,,,,,,
14,38,7,,,,,,,,,,
15,38,0,,,,,,,,,,
16,38,22,,,,,,,,,,
17,38,1,,,,,,,,,,
18,38,0,,,,,,,,,,
20,38,7,,,,,,,,,,
21,38,4,,,,,,,,,,
22,38,0,,,,,,,,,,
23,38,3,,,,,,,,,,
24,38,3,,,,,,,,,,
25,38,0,,,,,,,,,,
26,38,27,,,,,,,,,,
27,38,1,,,,,,,,,,
28,38,3,,,,,,,,,,
29,38,0,,,,,,,,,,
30,38,30,,,,,,,,,,
31,38,7,,,,,,,,,,
32,38,0,,,,,,,,,,
33,38,6,,,,,,,,,,
34,38,3,,,,,,,,,,
35,38,3,,,,,,,,,,
36,38,0,,,,,,,,,,
37,38,1,,,,,,,,,,
1,39,2,,,,,,,,,,
2,39,7,,,,,,,,,,
3,39,0,,,,,,,,,,
4,39,3,,,,,,,,,,
5,39,3,,,,,,,,,,
6,39,0,,,,,,,,,,
7,39,15,,,,,,,,,,
8,39,7,,,,,,,,,,
9,39,3,,,,,,,,,,
10,39,0,,,,,,,,,,
11,39,2,,,,,,,,,,
12,39,15,,,,,,,,,,
13,39,0,,,,,,,,,,
14,39,15,,,,,,,,,,
15,39,3,,,,,,,,,,
16,39,2,,,,,,,,,,
17,39,0,,,,,,,,,,
18,39,55,,,,,,,,,,
19,39,7,,,,,,,,,,
20,39,0,,,,,,,,,,
21,39,2,,,,,,,,,,
22,39,46,,,,,,,,,,
23,39,21,,,,,,,,,,
24,39,0,,,,,,,,,,
25,39,33,,,,,,,,,,
26,39,2,,,,,,,,,,
27,39,0,,,,,,,,,,
28,39,37,,,,,,,,,,
29,39,15,,,,,,,,,,
30,39,7,,,,,,,,,,
31,39,0,,,,,,,,,,
32,39,3,,,,,,,,,,
33,39,15,,,,,,,,,,
34,39,0,,,,,,,,,,
35,39,7,,,,,,,,,,
36,39,2,,,,,,,,,,
37,39,3,,,,,,,,,,
38,39,0,,,,,,,,,,
1,40,5,,,,,,,,,,
2,40,56,,,,,,,,,,
3,40,40,,,,,,,,,,
4,40,8,,,,,,,,,,
5,40,3,,,,,,,,,,
6,40,21,,,,,,,,,,
7,40,31,,,,,,,,,,
8,40,8,,,,,,,,,,
9,40,57,,,,,,,,,,
10,40,3,,,,,,,,,,
11,40,31,,,,,,,,,,
12,40,8,,,,,,,,,,
13,40,58,,,,,,,,,,
14,40,5,,,,,,,,,,
15,40,8,,,,,,,,,,
16,40,3,,,,,,,,,,
17,40,59,,,,,,,,,,
18,40,23,,,,,,,,,,
19,40,5,,,,,,,,,,
21,40,3,,,,,,,,,,
22,40,40,,,,,,,,,,
23,40,5,,,,,,,,,,
24,40,21,,,,,,,,,,
25,40,46,,,,,,,,,,
26,40,8,,,,,,,,,,
27,40,3,,,,,,,,,,
28,40,5,,,,,,,,,,
29,40,26,,,,,,,,,,
30,40,8,,,,,,,,,,
31,40,23,,,,,,,,,,
32,40,3,,,,,,,,,,
33,40,21,,,,,,,,,,
34,40,8,,,,,,,,,,
35,40,26,,,,,,,,,,
36,40,52,,,,,,,,,,
37,40,5,,,,,,,,,,
38,40,3,,,,,,,,,,
39,40,46,,,,,,,,,,
1,41,7,,,,,,,,,,
2,41,9,,,,,,,,,,
3,41,7,,,,,,,,,,
4,41,0,,,,,,,,,,
5,41,15,,,,,,,,,,
6,41,7,,,,,,,,,,
7,41,8,,,,,,,,,,
8,41,5,,,,,,,,,,
9,41,2,,,,,,,,,,
10,41,15,,,,,,,,,,
11,41,0,,,,,,,,,,
12,41,7,,,,,,,,,,
13,41,5,,,,,,,,,,
14,41,2,,,,,,,,,,
15,41,15,,,,,,,,,,
16,41,23,,,,,,,,,,
17,41,5,,,,,,,,,,
18,41,0,,,,,,,,,,
19,41,2,,,,,,,,,,
20,41,7,,,,,,,,,,
21,41,21,,,,,,,,,,
22,41,5,,,,,,,,,,
23,41,7,,,,,,,,,,
24,41,2,,,,,,,,,,
25,41,0,,,,,,,,,,
26,41,5,,,,,,,,,,
27,41,15,,,,,,,,,,
28,41,7,,,,,,,,,,
29,41,2,,,,,,,,,,
30,41,15,,,,,,,,,,
31,41,5,,,,,,,,,,
32,41,0,,,,,,,,,,
33,41,31,,,,,,,,,,
34,41,2,,,,,,,,,,
35,41,5,,,,,,,,,,
36,41,7,,,,,,,,,,
37,41,15,,,,,,,,,,
38,41,27,,,,,,,,,,
39,41,0,,,,,,,,,,
40,41,5,,,,,,,,,,
1,42,27,,,,,,,,,,
2,42,15,,,,,,,,,,
3,42,1,,,,,,,,,,
4,42,21,,,,,,,,,,
5,42,7,,,,,,,,,,
6,42,3,,,,,,,,,,
7,42,15,,,,,,,,,,
8,42,1,,,,,,,,,,
9,42,11,,,,,,,,,,
10,42,23,,,,,,,,,,
11,42,4,,,,,,,,,,
12,42,15,,,,,,,,,,
13,42,1,,,,,,,,,,
14,42,36,,,,,,,,,,
15,42,23,,,,,,,,,,
16,42,7,,,,,,,,,,
17,42,3,,,,,,,,,,
18,42,1,,,,,,,,,,
19,42,4,,,,,,,,,,
20,42,23,,,,,,,,,,
22,42,21,,,,,,,,,,
23,42,1,,,,,,,,,,
24,42,15,,,,,,,,,,
25,42,55,,,,,,,,,,
26,42,35,,,,,,,,,,
27,42,4,,,,,,,,,,
28,42,1,,,,,,,,,,
29,42,11,,,,,,,,,,
30,42,7,,,,,,,,,,
31,42,21,,,,,,,,,,
32,42,60,,,,,,,,,,
33,42,1,,,,,,,,,,
34,42,39,,,,,,,,,,
35,42,4,,,,,,,,,,
36,42,15,,,,,,,,,,
